net,length_um
net38,988.745µm
net102,919.85µm
net108,872.93µm
net35,862.545µm
net44,859.16µm
net111,846.56µm
net249,836.275µm
net2,767.36µm
net49,767.24µm
net228,737.9µm
net46,737.44µm
net48,735.64µm
net45,721.92µm
net6,707.34µm
net256,680.28µm
net241,667.135µm
net17,656.7µm
y_out_sky130_fd_sc_hd__dfrtp_2_Q_7_D_sky130_fd_sc_hd__xnor2_2_Y_B_sky130_fd_sc_hd__o21ba_2_X_A2_sky130_fd_sc_hd__a21oi_2_Y_A1_sky130_fd_sc_hd__a21oi_2_Y_B1_sky130_fd_sc_hd__a21oi_2_Y_A1_sky130_fd_sc_hd__and4_2_X_D,656.54µm
net80,653.095µm
net84,651.72µm
net234,647.36µm
net47,645.26µm
net267,627.35µm
net94,615.255µm
net259,612.54µm
net240,610.36µm
net43,592.92µm
net24,592.9µm
net113,586.29µm
clk,582.29µm
net109,575.8µm
net153,562.86µm
net68,558.55µm
net4,554.98µm
net10,547.1µm
y_out_sky130_fd_sc_hd__dfrtp_2_Q_1_D_sky130_fd_sc_hd__xnor2_2_Y_A_sky130_fd_sc_hd__xor2_2_X_B_sky130_fd_sc_hd__o21bai_2_Y_A1_sky130_fd_sc_hd__a21o_2_X_B1_sky130_fd_sc_hd__a32oi_2_Y_B2_sky130_fd_sc_hd__and4_2_X_D,546.34µm
net107,543.735µm
net233,542.77µm
net170,535.91µm
net34,529.44µm
y_out_sky130_fd_sc_hd__dfrtp_2_Q_3_D_sky130_fd_sc_hd__xnor2_2_Y_A_sky130_fd_sc_hd__xnor2_2_Y_A_sky130_fd_sc_hd__xnor2_2_Y_A_sky130_fd_sc_hd__nor2_2_Y_B_sky130_fd_sc_hd__a21oi_2_Y_A1_sky130_fd_sc_hd__and4_2_X_D,521.24µm
net217,515.02µm
y_out_sky130_fd_sc_hd__dfrtp_2_Q_7_D_sky130_fd_sc_hd__xnor2_2_Y_A_sky130_fd_sc_hd__xor2_2_X_A_sky130_fd_sc_hd__a21oi_2_Y_A1_sky130_fd_sc_hd__a21oi_2_Y_A1_sky130_fd_sc_hd__nand2b_2_Y_A_N_sky130_fd_sc_hd__a21oi_2_Y_A1_sky130_fd_sc_hd__a21o_2_X_A1_sky130_fd_sc_hd__xor2_2_X_A_sky130_fd_sc_hd__xnor2_2_Y_B_sky130_fd_sc_hd__nor2_2_Y_B,499.26µm
net133,493.38µm
net63,492.22µm
net33,491.84µm
net16,490.16µm
