Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_174_1057,VGND,li1,492.2000,484.1600,0.000002
FILLER_174_1049,VGND,li1,489.9000,484.1600,0.000002
FILLER_174_1037,VGND,li1,485.3000,484.1600,0.000002
FILLER_174_1033,VGND,li1,481.3900,484.1600,0.000002
FILLER_174_1021,VGND,li1,477.9400,484.1600,0.000002
FILLER_174_1009,VGND,li1,472.4200,484.1600,0.000002
FILLER_174_1005,VGND,li1,468.5100,484.1600,0.000002
FILLER_174_993,VGND,li1,465.0600,484.1600,0.000002
FILLER_174_981,VGND,li1,459.5400,484.1600,0.000002
FILLER_174_977,VGND,li1,455.6300,484.1600,0.000002
FILLER_174_965,VGND,li1,452.1800,484.1600,0.000002
FILLER_174_953,VGND,li1,446.6600,484.1600,0.000002
FILLER_174_949,VGND,li1,442.7500,484.1600,0.000002
FILLER_174_937,VGND,li1,439.3000,484.1600,0.000002
FILLER_174_925,VGND,li1,433.7800,484.1600,0.000002
FILLER_174_921,VGND,li1,429.8700,484.1600,0.000002
FILLER_174_909,VGND,li1,426.4200,484.1600,0.000002
FILLER_174_897,VGND,li1,420.9000,484.1600,0.000004
FILLER_174_893,VGND,li1,416.9900,484.1600,0.000005
FILLER_174_881,VGND,li1,413.5400,484.1600,0.000006
FILLER_174_869,VGND,li1,408.0200,484.1600,0.000008
FILLER_174_865,VGND,li1,404.1100,484.1600,0.000009
FILLER_174_853,VGND,li1,400.6600,484.1600,0.000010
FILLER_174_841,VGND,li1,395.1400,484.1600,0.000011
FILLER_174_839,VGND,li1,391.6900,484.1600,0.000013
FILLER_174_833,VGND,li1,390.0800,484.1600,0.000013
FILLER_174_825,VGND,li1,385.9400,484.1600,0.000014
FILLER_174_813,VGND,li1,382.2600,484.1600,0.000014
FILLER_174_810,VGND,li1,378.5800,484.1600,0.000014
FILLER_174_798,VGND,li1,375.3600,484.1600,0.000014
FILLER_174_793,VGND,li1,370.5300,484.1600,0.000014
FILLER_174_785,VGND,li1,368.4600,484.1600,0.000013
FILLER_174_781,VGND,li1,365.4700,484.1600,0.000012
FILLER_174_769,VGND,li1,362.0200,484.1600,0.000011
FILLER_174_757,VGND,li1,356.5000,484.1600,0.000010
FILLER_174_753,VGND,li1,352.5900,484.1600,0.000008
FILLER_174_741,VGND,li1,349.1400,484.1600,0.000007
FILLER_174_729,VGND,li1,343.6200,484.1600,0.000006
FILLER_174_725,VGND,li1,339.7100,484.1600,0.000004
FILLER_174_713,VGND,li1,336.2600,484.1600,0.000004
FILLER_174_701,VGND,li1,330.7400,484.1600,0.000002
FILLER_174_697,VGND,li1,326.8300,484.1600,0.000002
FILLER_174_685,VGND,li1,323.3800,484.1600,0.000002
FILLER_174_673,VGND,li1,317.8600,484.1600,0.000002
FILLER_174_669,VGND,li1,313.9500,484.1600,0.000002
FILLER_174_657,VGND,li1,310.5000,484.1600,0.000002
FILLER_174_645,VGND,li1,304.9800,484.1600,0.000002
FILLER_174_641,VGND,li1,301.0700,484.1600,0.000002
FILLER_174_629,VGND,li1,297.6200,484.1600,0.000002
FILLER_174_617,VGND,li1,292.1000,484.1600,0.000002
FILLER_174_613,VGND,li1,288.1900,484.1600,0.000002
FILLER_174_601,VGND,li1,284.7400,484.1600,0.000002
FILLER_174_589,VGND,li1,279.2200,484.1600,0.000002
FILLER_174_585,VGND,li1,275.3100,484.1600,0.000002
FILLER_174_573,VGND,li1,271.8600,484.1600,0.000002
FILLER_174_561,VGND,li1,266.3400,484.1600,0.000002
