Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_89_529,VPWR,li1,249.3200,252.9600,1.799692
FILLER_89_517,VPWR,li1,246.1000,252.9600,1.799692
FILLER_89_505,VPWR,li1,240.5800,252.9600,1.799692
FILLER_89_498,VPWR,li1,235.9800,252.9600,1.799692
FILLER_89_474,VPWR,li1,224.0200,252.9600,1.799694
FILLER_89_462,VPWR,li1,220.8000,252.9600,1.799696
FILLER_89_455,VPWR,li1,215.5100,252.9600,1.799701
FILLER_89_449,VPWR,li1,212.5200,252.9600,1.799707
FILLER_89_441,VPWR,li1,209.0700,252.9600,1.799714
FILLER_89_433,VPWR,li1,206.5400,252.9600,1.799723
FILLER_89_421,VPWR,li1,201.9400,252.9600,1.799744
FILLER_89_419,VPWR,li1,198.4900,252.9600,1.799752
FILLER_89_413,VPWR,li1,196.8800,252.9600,1.799759
FILLER_89_407,VPWR,li1,193.2000,252.9600,1.799771
FILLER_89_399,VPWR,li1,190.9000,252.9600,1.799781
FILLER_89_393,VPWR,li1,186.7600,252.9600,1.799797
FILLER_89_389,VPWR,li1,185.1500,252.9600,1.799807
FILLER_89_377,VPWR,li1,181.7000,252.9600,1.799823
FILLER_89_365,VPWR,li1,176.1800,252.9600,1.799859
FILLER_89_361,VPWR,li1,172.2700,252.9600,1.799874
FILLER_89_349,VPWR,li1,168.8200,252.9600,1.799895
FILLER_89_337,VPWR,li1,163.3000,252.9600,1.799902
FILLER_89_333,VPWR,li1,159.3900,252.9600,1.799890
FILLER_89_321,VPWR,li1,155.9400,252.9600,1.799882
FILLER_89_309,VPWR,li1,150.4200,252.9600,1.799868
FILLER_89_306,VPWR,li1,146.7400,252.9600,1.799859
FILLER_89_298,VPWR,li1,144.4400,252.9600,1.799852
FILLER_89_286,VPWR,li1,139.8400,252.9600,1.799848
FILLER_89_281,VPWR,li1,135.2400,252.9600,1.799844
FILLER_89_279,VPWR,li1,134.0900,252.9600,1.799843
FILLER_89_273,VPWR,li1,132.4800,252.9600,1.799843
FILLER_89_266,VPWR,li1,128.5700,252.9600,1.799839
FILLER_89_259,VPWR,li1,125.3500,252.9600,1.799840
FILLER_89_253,VPWR,li1,122.3600,252.9600,1.799843
FILLER_89_249,VPWR,li1,120.7500,252.9600,1.799845
FILLER_89_237,VPWR,li1,117.3000,252.9600,1.799848
FILLER_89_225,VPWR,li1,111.7800,252.9600,1.799856
FILLER_89_221,VPWR,li1,107.8700,252.9600,1.799861
FILLER_89_209,VPWR,li1,104.4200,252.9600,1.799865
FILLER_89_197,VPWR,li1,98.9000,252.9600,1.799873
FILLER_89_193,VPWR,li1,94.9900,252.9600,1.799879
FILLER_89_181,VPWR,li1,91.5400,252.9600,1.799882
FILLER_89_169,VPWR,li1,86.0200,252.9600,1.799890
FILLER_89_165,VPWR,li1,82.1100,252.9600,1.799895
FILLER_89_153,VPWR,li1,78.6600,252.9600,1.799899
FILLER_89_141,VPWR,li1,73.1400,252.9600,1.799907
FILLER_89_137,VPWR,li1,69.2300,252.9600,1.799913
FILLER_89_125,VPWR,li1,65.7800,252.9600,1.799916
FILLER_89_113,VPWR,li1,60.2600,252.9600,1.799924
FILLER_89_109,VPWR,li1,56.3500,252.9600,1.799929
FILLER_89_97,VPWR,li1,52.9000,252.9600,1.799933
FILLER_89_85,VPWR,li1,47.3800,252.9600,1.799941
FILLER_89_81,VPWR,li1,43.4700,252.9600,1.799947
FILLER_89_69,VPWR,li1,40.0200,252.9600,1.799950
FILLER_89_57,VPWR,li1,34.5000,252.9600,1.799958
FILLER_89_53,VPWR,li1,30.5900,252.9600,1.799963
FILLER_89_41,VPWR,li1,27.1400,252.9600,1.799967
FILLER_89_29,VPWR,li1,21.6200,252.9600,1.799975
FILLER_89_27,VPWR,li1,18.1700,252.9600,1.799979
FILLER_89_15,VPWR,li1,15.1800,252.9600,1.799983
FILLER_89_3,VPWR,li1,9.6600,252.9600,1.799987
FILLER_88_530,VPWR,li1,249.5500,252.9600,1.799692
FILLER_88_524,VPWR,li1,247.9400,252.9600,1.799692
FILLER_88_512,VPWR,li1,243.8000,252.9600,1.799692
FILLER_88_500,VPWR,li1,238.2800,252.9600,1.799692
FILLER_88_488,VPWR,li1,232.7600,252.9600,1.799692
FILLER_88_477,VPWR,li1,225.4000,252.9600,1.799694
FILLER_88_475,VPWR,li1,224.2500,252.9600,1.799694
FILLER_88_463,VPWR,li1,221.2600,252.9600,1.799696
FILLER_88_451,VPWR,li1,215.7400,252.9600,1.799699
FILLER_88_439,VPWR,li1,210.2200,252.9600,1.799714
