Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_89_529,VGND,li1,249.3200,255.6800,0.000265
FILLER_89_517,VGND,li1,246.1000,255.6800,0.000265
FILLER_89_505,VGND,li1,240.5800,255.6800,0.000265
FILLER_89_498,VGND,li1,235.9800,255.6800,0.000265
FILLER_89_474,VGND,li1,224.0200,255.6800,0.000264
FILLER_89_462,VGND,li1,220.8000,255.6800,0.000263
FILLER_89_455,VGND,li1,215.5100,255.6800,0.000258
FILLER_89_449,VGND,li1,212.5200,255.6800,0.000253
FILLER_89_441,VGND,li1,209.0700,255.6800,0.000247
FILLER_89_433,VGND,li1,206.5400,255.6800,0.000239
FILLER_89_421,VGND,li1,201.9400,255.6800,0.000224
FILLER_89_419,VGND,li1,198.4900,255.6800,0.000207
FILLER_89_413,VGND,li1,196.8800,255.6800,0.000207
FILLER_89_407,VGND,li1,193.2000,255.6800,0.000195
FILLER_89_399,VGND,li1,190.9000,255.6800,0.000185
FILLER_89_393,VGND,li1,186.7600,255.6800,0.000158
FILLER_89_389,VGND,li1,185.1500,255.6800,0.000158
FILLER_89_377,VGND,li1,181.7000,255.6800,0.000139
FILLER_89_365,VGND,li1,176.1800,255.6800,0.000110
FILLER_89_361,VGND,li1,172.2700,255.6800,0.000090
FILLER_89_349,VGND,li1,168.8200,255.6800,0.000071
FILLER_89_337,VGND,li1,163.3000,255.6800,0.000082
FILLER_89_333,VGND,li1,159.3900,255.6800,0.000089
FILLER_89_321,VGND,li1,155.9400,255.6800,0.000095
FILLER_89_309,VGND,li1,150.4200,255.6800,0.000105
FILLER_89_306,VGND,li1,146.7400,255.6800,0.000112
FILLER_89_298,VGND,li1,144.4400,255.6800,0.000117
FILLER_89_286,VGND,li1,139.8400,255.6800,0.000125
FILLER_89_281,VGND,li1,135.2400,255.6800,0.000135
FILLER_89_279,VGND,li1,134.0900,255.6800,0.000138
FILLER_89_273,VGND,li1,132.4800,255.6800,0.000138
FILLER_89_266,VGND,li1,128.5700,255.6800,0.000145
FILLER_89_259,VGND,li1,125.3500,255.6800,0.000144
FILLER_89_253,VGND,li1,122.3600,255.6800,0.000141
FILLER_89_249,VGND,li1,120.7500,255.6800,0.000141
FILLER_89_237,VGND,li1,117.3000,255.6800,0.000137
FILLER_89_225,VGND,li1,111.7800,255.6800,0.000130
FILLER_89_221,VGND,li1,107.8700,255.6800,0.000125
FILLER_89_209,VGND,li1,104.4200,255.6800,0.000121
FILLER_89_197,VGND,li1,98.9000,255.6800,0.000114
FILLER_89_193,VGND,li1,94.9900,255.6800,0.000109
FILLER_89_181,VGND,li1,91.5400,255.6800,0.000105
FILLER_89_169,VGND,li1,86.0200,255.6800,0.000099
FILLER_89_165,VGND,li1,82.1100,255.6800,0.000094
FILLER_89_153,VGND,li1,78.6600,255.6800,0.000090
FILLER_89_141,VGND,li1,73.1400,255.6800,0.000083
FILLER_89_137,VGND,li1,69.2300,255.6800,0.000078
FILLER_89_125,VGND,li1,65.7800,255.6800,0.000074
FILLER_89_113,VGND,li1,60.2600,255.6800,0.000067
FILLER_89_109,VGND,li1,56.3500,255.6800,0.000062
FILLER_89_97,VGND,li1,52.9000,255.6800,0.000058
FILLER_89_85,VGND,li1,47.3800,255.6800,0.000051
FILLER_89_81,VGND,li1,43.4700,255.6800,0.000047
FILLER_89_69,VGND,li1,40.0200,255.6800,0.000042
FILLER_89_57,VGND,li1,34.5000,255.6800,0.000036
FILLER_89_53,VGND,li1,30.5900,255.6800,0.000031
FILLER_89_41,VGND,li1,27.1400,255.6800,0.000027
FILLER_89_29,VGND,li1,21.6200,255.6800,0.000020
FILLER_89_27,VGND,li1,18.1700,255.6800,0.000016
FILLER_89_15,VGND,li1,15.1800,255.6800,0.000012
FILLER_89_3,VGND,li1,9.6600,255.6800,0.000012
FILLER_88_530,VGND,li1,249.5500,250.2400,0.000132
FILLER_88_524,VGND,li1,247.9400,250.2400,0.000132
FILLER_88_512,VGND,li1,243.8000,250.2400,0.000132
FILLER_88_500,VGND,li1,238.2800,250.2400,0.000132
FILLER_88_488,VGND,li1,232.7600,250.2400,0.000132
FILLER_88_477,VGND,li1,225.4000,250.2400,0.000131
FILLER_88_475,VGND,li1,224.2500,250.2400,0.000131
FILLER_88_463,VGND,li1,221.2600,250.2400,0.000130
FILLER_88_451,VGND,li1,215.7400,250.2400,0.000129
FILLER_88_439,VGND,li1,210.2200,250.2400,0.000127
FILLER_88_427,VGND,li1,204.7000,250.2400,0.000126
FILLER_88_417,VGND,li1,198.0300,250.2400,0.000122
FILLER_88_408,VGND,li1,193.4300,250.2400,0.000119
FILLER_88_404,VGND,li1,192.2800,250.2400,0.000119
FILLER_88_392,VGND,li1,188.6000,250.2400,0.000115
FILLER_88_385,VGND,li1,183.0800,250.2400,0.000105
FILLER_88_352,VGND,li1,170.2000,250.2400,0.000071
FILLER_88_340,VGND,li1,164.6800,250.2400,0.000087
FILLER_88_321,VGND,li1,154.1000,250.2400,0.000115
FILLER_88_309,VGND,li1,150.4200,250.2400,0.000121
FILLER_88_305,VGND,li1,146.5100,250.2400,0.000129
FILLER_88_289,VGND,li1,139.1500,250.2400,0.000129
FILLER_88_277,VGND,li1,135.7000,250.2400,0.000125
FILLER_88_265,VGND,li1,130.1800,250.2400,0.000121
FILLER_88_253,VGND,li1,124.6600,250.2400,0.000116
FILLER_88_251,VGND,li1,121.2100,250.2400,0.000111
FILLER_88_245,VGND,li1,119.6000,250.2400,0.000111
FILLER_88_233,VGND,li1,115.4600,250.2400,0.000107
FILLER_88_221,VGND,li1,109.9400,250.2400,0.000100
FILLER_88_209,VGND,li1,104.4200,250.2400,0.000096
FILLER_88_197,VGND,li1,98.9000,250.2400,0.000091
FILLER_88_195,VGND,li1,95.4500,250.2400,0.000086
FILLER_88_189,VGND,li1,93.8400,250.2400,0.000086
FILLER_88_177,VGND,li1,89.7000,250.2400,0.000082
FILLER_88_165,VGND,li1,84.1800,250.2400,0.000075
FILLER_88_153,VGND,li1,78.6600,250.2400,0.000071
FILLER_88_141,VGND,li1,73.1400,250.2400,0.000066
FILLER_88_139,VGND,li1,69.6900,250.2400,0.000061
FILLER_88_133,VGND,li1,68.0800,250.2400,0.000061
FILLER_88_121,VGND,li1,63.9400,250.2400,0.000057
FILLER_88_109,VGND,li1,58.4200,250.2400,0.000050
FILLER_88_97,VGND,li1,52.9000,250.2400,0.000046
FILLER_88_85,VGND,li1,47.3800,250.2400,0.000041
