net,length_um
clknet_0_clk,571.06µm
filter.y_out\[15\],496.78µm
net10,477.94µm
net3,468.74µm
net16,458.4µm
filter.y_out\[14\],383.98µm
filter.y_out\[1\],373.56µm
net21,373.2µm
net11,370.195µm
net35,367.22µm
net22,347.09µm
net33,345.22µm
net28,313.73µm
net23,299.38µm
filter.y_out\[0\],299.22µm
net15,294.84µm
filter.y_out\[12\],290.5µm
net25,276.72µm
filter.y_out\[2\],270.475µm
filter.y_out\[3\],267.77µm
clknet_3_6__leaf_clk,260.18µm
net24,257.16µm
clk,255.31µm
clknet_3_1__leaf_clk,243.42µm
net6,240.58µm
net31,234.38µm
clknet_3_5__leaf_clk,231.765µm
filter.y_out\[5\],230.96µm
clknet_3_2__leaf_clk,226.08µm
clknet_3_4__leaf_clk,226.02µm
net26,215.72µm
net19,213.265µm
filter.x_in\[10\]_sky130_fd_sc_hd__or2_2_A_B_sky130_fd_sc_hd__xor2_2_X_B_sky130_fd_sc_hd__a31o_2_X_A1_sky130_fd_sc_hd__nor2_2_B_Y,208.56µm
filter.x_in\[8\]_sky130_fd_sc_hd__and2_2_A_B_sky130_fd_sc_hd__a21o_2_X_B1,202.67µm
net7,199.18µm
net8,198.245µm
filter.y_out\[8\],196.94µm
net30,196.54µm
net20,190.72µm
net29,183.6µm
filter.y_out\[7\],182.86µm
net27,181.2µm
filter.y_out\[9\],176.48µm
filter.x_in\[12\]_sky130_fd_sc_hd__a21oi_2_A1_B1_sky130_fd_sc_hd__and3_2_X_B_sky130_fd_sc_hd__a22o_2_X_A2,173µm
net12,172.06µm
clknet_3_7__leaf_clk,170.465µm
net34,165.62µm
net18,161.18µm
net32,160.68µm
clknet_3_3__leaf_clk,158.22µm
clknet_3_0__leaf_clk,156.91µm
filter.x_in\[6\]_sky130_fd_sc_hd__and2_2_A_B_sky130_fd_sc_hd__a31o_2_X_B1_sky130_fd_sc_hd__and2_2_X_B_sky130_fd_sc_hd__o22a_2_X_B2_sky130_fd_sc_hd__nand2b_2_Y_A_N_sky130_fd_sc_hd__and2_2_B_X_sky130_fd_sc_hd__o211a_2_A1_A2_sky130_fd_sc_hd__a21oi_2_Y_B1,155.66µm
filter.y_out\[13\],151.24µm
net9,146.22µm
net17,139.08µm
filter.y_out\[6\]_sky130_fd_sc_hd__dfrtp_2_Q_D_sky130_fd_sc_hd__xnor2_2_Y_B_sky130_fd_sc_hd__o311a_2_A2_X,137.94µm
filter.x_in\[12\]_sky130_fd_sc_hd__a21oi_2_A1_B1_sky130_fd_sc_hd__and3_2_X_B_sky130_fd_sc_hd__a22o_2_X_A1_sky130_fd_sc_hd__xnor2_2_A_B_sky130_fd_sc_hd__and2_2_X_A_sky130_fd_sc_hd__inv_2_Y_A_sky130_fd_sc_hd__xor2_2_B_X,133.56µm
spi_in.bit_cnt\[3\]_sky130_fd_sc_hd__and3_2_A_X,128.86µm
filter.x_in\[9\]_sky130_fd_sc_hd__xnor2_2_A_B_sky130_fd_sc_hd__xor2_2_X_A_sky130_fd_sc_hd__xnor2_2_Y_A_sky130_fd_sc_hd__a21o_2_X_B1_sky130_fd_sc_hd__a311o_2_B1_X,121.36µm
