Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_89_529,VGND,li1,249.3200,255.6800,0.000336
FILLER_89_517,VGND,li1,246.1000,255.6800,0.000336
FILLER_89_505,VGND,li1,240.5800,255.6800,0.000336
FILLER_89_501,VGND,li1,236.6700,255.6800,0.000336
FILLER_89_474,VGND,li1,224.0200,255.6800,0.000334
FILLER_89_462,VGND,li1,220.8000,255.6800,0.000332
FILLER_89_455,VGND,li1,215.5100,255.6800,0.000326
FILLER_89_449,VGND,li1,212.5200,255.6800,0.000320
FILLER_89_441,VGND,li1,209.0700,255.6800,0.000312
FILLER_89_433,VGND,li1,206.5400,255.6800,0.000301
FILLER_89_421,VGND,li1,201.9400,255.6800,0.000282
FILLER_89_419,VGND,li1,198.4900,255.6800,0.000261
FILLER_89_413,VGND,li1,196.8800,255.6800,0.000261
FILLER_89_407,VGND,li1,193.2000,255.6800,0.000246
FILLER_89_399,VGND,li1,190.9000,255.6800,0.000233
FILLER_89_393,VGND,li1,186.7600,255.6800,0.000199
FILLER_89_389,VGND,li1,185.1500,255.6800,0.000199
FILLER_89_377,VGND,li1,181.7000,255.6800,0.000176
FILLER_89_365,VGND,li1,176.1800,255.6800,0.000139
FILLER_89_361,VGND,li1,172.2700,255.6800,0.000113
FILLER_89_349,VGND,li1,168.8200,255.6800,0.000090
FILLER_89_337,VGND,li1,163.3000,255.6800,0.000103
FILLER_89_333,VGND,li1,159.3900,255.6800,0.000112
FILLER_89_321,VGND,li1,155.9400,255.6800,0.000120
FILLER_89_309,VGND,li1,150.4200,255.6800,0.000132
FILLER_89_306,VGND,li1,146.7400,255.6800,0.000141
FILLER_89_298,VGND,li1,144.4400,255.6800,0.000146
FILLER_89_286,VGND,li1,139.8400,255.6800,0.000157
FILLER_89_281,VGND,li1,135.2400,255.6800,0.000169
FILLER_89_279,VGND,li1,134.0900,255.6800,0.000173
FILLER_89_273,VGND,li1,132.4800,255.6800,0.000173
FILLER_89_266,VGND,li1,128.5700,255.6800,0.000182
FILLER_89_259,VGND,li1,125.3500,255.6800,0.000181
FILLER_89_253,VGND,li1,122.3600,255.6800,0.000176
FILLER_89_249,VGND,li1,120.7500,255.6800,0.000176
FILLER_89_237,VGND,li1,117.3000,255.6800,0.000171
FILLER_89_225,VGND,li1,111.7800,255.6800,0.000163
FILLER_89_221,VGND,li1,107.8700,255.6800,0.000157
FILLER_89_209,VGND,li1,104.4200,255.6800,0.000151
FILLER_89_197,VGND,li1,98.9000,255.6800,0.000143
FILLER_89_193,VGND,li1,94.9900,255.6800,0.000137
FILLER_89_181,VGND,li1,91.5400,255.6800,0.000132
FILLER_89_169,VGND,li1,86.0200,255.6800,0.000123
FILLER_89_165,VGND,li1,82.1100,255.6800,0.000117
FILLER_89_153,VGND,li1,78.6600,255.6800,0.000112
FILLER_89_141,VGND,li1,73.1400,255.6800,0.000104
FILLER_89_137,VGND,li1,69.2300,255.6800,0.000098
FILLER_89_125,VGND,li1,65.7800,255.6800,0.000092
FILLER_89_113,VGND,li1,60.2600,255.6800,0.000084
FILLER_89_109,VGND,li1,56.3500,255.6800,0.000078
FILLER_89_97,VGND,li1,52.9000,255.6800,0.000073
FILLER_89_85,VGND,li1,47.3800,255.6800,0.000064
FILLER_89_81,VGND,li1,43.4700,255.6800,0.000058
FILLER_89_69,VGND,li1,40.0200,255.6800,0.000053
FILLER_89_57,VGND,li1,34.5000,255.6800,0.000045
FILLER_89_53,VGND,li1,30.5900,255.6800,0.000039
FILLER_89_41,VGND,li1,27.1400,255.6800,0.000034
FILLER_89_29,VGND,li1,21.6200,255.6800,0.000025
FILLER_89_27,VGND,li1,18.1700,255.6800,0.000020
FILLER_89_15,VGND,li1,15.1800,255.6800,0.000015
FILLER_89_3,VGND,li1,9.6600,255.6800,0.000015
FILLER_88_528,VGND,li1,249.0900,250.2400,0.000165
FILLER_88_516,VGND,li1,245.6400,250.2400,0.000165
FILLER_88_504,VGND,li1,240.1200,250.2400,0.000165
FILLER_88_492,VGND,li1,234.6000,250.2400,0.000165
FILLER_88_477,VGND,li1,226.3200,250.2400,0.000164
FILLER_88_473,VGND,li1,223.7900,250.2400,0.000164
FILLER_88_461,VGND,li1,220.3400,250.2400,0.000164
FILLER_88_449,VGND,li1,214.8200,250.2400,0.000163
FILLER_88_437,VGND,li1,209.3000,250.2400,0.000162
FILLER_88_417,VGND,li1,198.0300,250.2400,0.000157
FILLER_88_408,VGND,li1,193.4300,250.2400,0.000154
FILLER_88_396,VGND,li1,190.4400,250.2400,0.000150
FILLER_88_386,VGND,li1,183.3100,250.2400,0.000134
FILLER_88_380,VGND,li1,181.7000,250.2400,0.000134
FILLER_88_352,VGND,li1,170.2000,250.2400,0.000091
FILLER_88_340,VGND,li1,164.6800,250.2400,0.000112
FILLER_88_321,VGND,li1,154.1000,250.2400,0.000148
FILLER_88_309,VGND,li1,150.4200,250.2400,0.000156
FILLER_88_305,VGND,li1,146.5100,250.2400,0.000167
FILLER_88_289,VGND,li1,138.6900,250.2400,0.000166
FILLER_88_277,VGND,li1,135.7000,250.2400,0.000162
FILLER_88_265,VGND,li1,130.1800,250.2400,0.000156
FILLER_88_253,VGND,li1,124.6600,250.2400,0.000149
FILLER_88_251,VGND,li1,121.2100,250.2400,0.000143
FILLER_88_245,VGND,li1,119.6000,250.2400,0.000143
FILLER_88_233,VGND,li1,115.4600,250.2400,0.000138
FILLER_88_221,VGND,li1,109.9400,250.2400,0.000130
FILLER_88_209,VGND,li1,104.4200,250.2400,0.000124
FILLER_88_197,VGND,li1,98.9000,250.2400,0.000117
FILLER_88_195,VGND,li1,95.4500,250.2400,0.000111
FILLER_88_189,VGND,li1,93.8400,250.2400,0.000111
FILLER_88_177,VGND,li1,89.7000,250.2400,0.000106
FILLER_88_165,VGND,li1,84.1800,250.2400,0.000097
FILLER_88_153,VGND,li1,78.6600,250.2400,0.000092
FILLER_88_141,VGND,li1,73.1400,250.2400,0.000085
FILLER_88_139,VGND,li1,69.6900,250.2400,0.000079
FILLER_88_133,VGND,li1,68.0800,250.2400,0.000079
FILLER_88_121,VGND,li1,63.9400,250.2400,0.000074
FILLER_88_109,VGND,li1,58.4200,250.2400,0.000065
FILLER_88_97,VGND,li1,52.9000,250.2400,0.000060
FILLER_88_85,VGND,li1,47.3800,250.2400,0.000053
FILLER_88_83,VGND,li1,43.9300,250.2400,0.000046
FILLER_88_77,VGND,li1,42.3200,250.2400,0.000046
FILLER_88_65,VGND,li1,38.1800,250.2400,0.000041
FILLER_88_53,VGND,li1,32.6600,250.2400,0.000034
FILLER_88_41,VGND,li1,27.1400,250.2400,0.000026
FILLER_88_29,VGND,li1,21.6200,250.2400,0.000019
FILLER_88_27,VGND,li1,18.1700,250.2400,0.000016
FILLER_88_15,VGND,li1,15.1800,250.2400,0.000013
FILLER_88_3,VGND,li1,9.6600,250.2400,0.000013
FILLER_87_529,VGND,li1,249.3200,250.2400,0.000165
FILLER_87_517,VGND,li1,246.1000,250.2400,0.000165
FILLER_87_505,VGND,li1,240.5800,250.2400,0.000165
FILLER_87_503,VGND,li1,237.1300,250.2400,0.000165
FILLER_87_497,VGND,li1,235.5200,250.2400,0.000165
FILLER_87_485,VGND,li1,231.3800,250.2400,0.000165
FILLER_87_473,VGND,li1,225.8600,250.2400,0.000164
FILLER_87_461,VGND,li1,220.3400,250.2400,0.000164
FILLER_87_449,VGND,li1,214.8200,250.2400,0.000163
FILLER_87_440,VGND,li1,209.7600,250.2400,0.000162
FILLER_87_428,VGND,li1,205.1600,250.2400,0.000162
FILLER_87_403,VGND,li1,191.8200,250.2400,0.000150
FILLER_87_388,VGND,li1,184.9200,250.2400,0.000140
FILLER_87_369,VGND,li1,175.4900,250.2400,0.000116
FILLER_87_365,VGND,li1,174.3400,250.2400,0.000107
FILLER_87_352,VGND,li1,167.6700,250.2400,0.000099
FILLER_87_344,VGND,li1,165.6000,250.2400,0.000112
FILLER_87_318,VGND,li1,152.0300,250.2400,0.000156
FILLER_87_314,VGND,li1,150.8800,250.2400,0.000156
FILLER_87_281,VGND,li1,135.4700,250.2400,0.000162
FILLER_87_279,VGND,li1,134.0900,250.2400,0.000159
FILLER_87_273,VGND,li1,132.4800,250.2400,0.000159
FILLER_87_261,VGND,li1,128.3400,250.2400,0.000154
FILLER_87_249,VGND,li1,122.8200,250.2400,0.000146
FILLER_87_237,VGND,li1,117.3000,250.2400,0.000140
FILLER_87_225,VGND,li1,111.7800,250.2400,0.000133
