Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_174_1057,VPWR,li1,492.2000,486.8800,1.799994
FILLER_174_1049,VPWR,li1,489.9000,486.8800,1.799994
FILLER_174_1037,VPWR,li1,485.3000,486.8800,1.799994
FILLER_174_1033,VPWR,li1,481.3900,486.8800,1.799994
FILLER_174_1021,VPWR,li1,477.9400,486.8800,1.799994
FILLER_174_1009,VPWR,li1,472.4200,486.8800,1.799994
FILLER_174_1005,VPWR,li1,468.5100,486.8800,1.799994
FILLER_174_993,VPWR,li1,465.0600,486.8800,1.799994
FILLER_174_981,VPWR,li1,459.5400,486.8800,1.799994
FILLER_174_977,VPWR,li1,455.6300,486.8800,1.799994
FILLER_174_965,VPWR,li1,452.1800,486.8800,1.799994
FILLER_174_953,VPWR,li1,446.6600,486.8800,1.799994
FILLER_174_949,VPWR,li1,442.7500,486.8800,1.799994
FILLER_174_937,VPWR,li1,439.3000,486.8800,1.799994
FILLER_174_925,VPWR,li1,433.7800,486.8800,1.799994
FILLER_174_921,VPWR,li1,429.8700,486.8800,1.799994
FILLER_174_909,VPWR,li1,426.4200,486.8800,1.799994
FILLER_174_897,VPWR,li1,420.9000,486.8800,1.799994
FILLER_174_893,VPWR,li1,416.9900,486.8800,1.799994
FILLER_174_881,VPWR,li1,413.5400,486.8800,1.799994
FILLER_174_869,VPWR,li1,408.0200,486.8800,1.799991
FILLER_174_861,VPWR,li1,402.2700,486.8800,1.799984
FILLER_174_853,VPWR,li1,399.7400,486.8800,1.799983
FILLER_174_841,VPWR,li1,395.1400,486.8800,1.799980
FILLER_174_839,VPWR,li1,391.6900,486.8800,1.799978
FILLER_174_831,VPWR,li1,389.6200,486.8800,1.799976
FILLER_174_819,VPWR,li1,385.0200,486.8800,1.799974
FILLER_174_813,VPWR,li1,379.9600,486.8800,1.799971
FILLER_174_805,VPWR,li1,376.5100,486.8800,1.799971
FILLER_174_797,VPWR,li1,373.9800,486.8800,1.799972
FILLER_174_785,VPWR,li1,369.3800,486.8800,1.799973
FILLER_174_781,VPWR,li1,365.4700,486.8800,1.799975
FILLER_174_769,VPWR,li1,362.0200,486.8800,1.799976
FILLER_174_757,VPWR,li1,356.5000,486.8800,1.799978
FILLER_174_753,VPWR,li1,352.5900,486.8800,1.799980
FILLER_174_741,VPWR,li1,349.1400,486.8800,1.799981
FILLER_174_729,VPWR,li1,343.6200,486.8800,1.799983
FILLER_174_725,VPWR,li1,339.7100,486.8800,1.799985
FILLER_174_713,VPWR,li1,336.2600,486.8800,1.799986
FILLER_174_701,VPWR,li1,330.7400,486.8800,1.799988
FILLER_174_697,VPWR,li1,326.8300,486.8800,1.799990
FILLER_174_685,VPWR,li1,323.3800,486.8800,1.799991
FILLER_174_673,VPWR,li1,317.8600,486.8800,1.799993
FILLER_174_669,VPWR,li1,313.9500,486.8800,1.799994
FILLER_174_657,VPWR,li1,310.5000,486.8800,1.799996
FILLER_174_645,VPWR,li1,304.9800,486.8800,1.799994
FILLER_174_643,VPWR,li1,301.5300,486.8800,1.799992
FILLER_174_635,VPWR,li1,299.4600,486.8800,1.799992
FILLER_174_623,VPWR,li1,294.8600,486.8800,1.799990
FILLER_174_617,VPWR,li1,289.8000,486.8800,1.799989
FILLER_174_613,VPWR,li1,288.1900,486.8800,1.799989
FILLER_174_601,VPWR,li1,284.7400,486.8800,1.799989
